[2023-12-14 01:56:53] local.DEBUG: AdmService@Create ["Adm saved","400.733.750-04"] 
[2023-12-14 02:05:08] local.DEBUG: AdmService@Create ["Adm saved","400.733.750-04"] 
[2023-12-14 23:22:50] local.DEBUG: AdmService@Create ["Adm saved","400.733.750-04"] 
[2023-12-14 23:32:45] local.DEBUG: AdmService@Create ["Adm saved","400.733.750-04"] 
[2023-12-14 23:45:16] local.DEBUG: AdmService@Create ["Adm saved","400.733.750-04"] 
[2024-01-20 18:21:53] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-01-20 18:21:54] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-02 23:51:10] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-02 23:51:10] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-02 23:56:41] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-02 23:56:41] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-02 23:59:26] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-02 23:59:27] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 00:05:04] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 00:05:05] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 00:16:34] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 00:16:34] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 00:21:51] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 00:21:51] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 00:23:05] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 00:23:06] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 00:28:58] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 00:28:58] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 00:33:11] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 00:33:12] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 00:36:22] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 00:36:22] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 00:47:45] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 00:47:45] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 00:49:04] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 00:49:04] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 00:53:33] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 00:53:33] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 00:54:33] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 00:54:33] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 00:56:35] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 00:56:35] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:07:17] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:07:17] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:07:50] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:07:50] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:10:21] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:10:21] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:11:32] local.DEBUG: AdmService@Create ["Adm saved","400.733.750-04"] 
[2024-05-03 01:12:59] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:12:59] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:18:10] local.DEBUG: AdmService@Create ["Adm saved","400.733.750-04"] 
[2024-05-03 01:18:53] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:18:53] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:20:54] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:20:55] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:21:38] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:21:38] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:23:11] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:23:12] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:24:37] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:24:37] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:27:24] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:27:24] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:29:50] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:29:50] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:31:23] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:31:23] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:32:02] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:32:02] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:32:34] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:32:34] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:33:24] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:33:24] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:35:21] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:35:21] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:36:32] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:36:32] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:37:27] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:37:28] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:40:28] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:40:28] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:41:20] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:41:21] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:41:44] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:41:45] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
[2024-05-03 01:42:51] testing.DEBUG: AdmService@Create ["Adm saved","792.466.540-48"] 
[2024-05-03 01:42:51] testing.DEBUG: AdmService@Create ["Adm updated","792.466.540-48"] 
